Planning Area,Subzone,Age Group,Type of Dwelling,2024
Serangoon,Serangoon North,0 - 4,Total,470
Serangoon,Serangoon North,0 - 4,Total HDB^,470
Serangoon,Serangoon North,0 - 4,1- and 2-Room Flats*,-
Serangoon,Serangoon North,0 - 4,3-Room Flats,-
Serangoon,Serangoon North,0 - 4,4-Room Flats,170
Serangoon,Serangoon North,0 - 4,5-Room and Executive Flats,300
Serangoon,Serangoon North,0 - 4,Condominiums and Other Apartments,-
Serangoon,Serangoon North,0 - 4,Landed Properties,-
Serangoon,Serangoon North,0 - 4,Others,-
Serangoon,Serangoon North,5 - 9,Total,550
Serangoon,Serangoon North,5 - 9,Total HDB^,550
Serangoon,Serangoon North,5 - 9,1- and 2-Room Flats*,-
Serangoon,Serangoon North,5 - 9,3-Room Flats,-
Serangoon,Serangoon North,5 - 9,4-Room Flats,190
Serangoon,Serangoon North,5 - 9,5-Room and Executive Flats,370
Serangoon,Serangoon North,5 - 9,Condominiums and Other Apartments,-
Serangoon,Serangoon North,5 - 9,Landed Properties,-
Serangoon,Serangoon North,5 - 9,Others,-
Serangoon,Serangoon North,10 - 14,Total,610
Serangoon,Serangoon North,10 - 14,Total HDB^,610
Serangoon,Serangoon North,10 - 14,1- and 2-Room Flats*,-
Serangoon,Serangoon North,10 - 14,3-Room Flats,-
Serangoon,Serangoon North,10 - 14,4-Room Flats,210
Serangoon,Serangoon North,10 - 14,5-Room and Executive Flats,400
Serangoon,Serangoon North,10 - 14,Condominiums and Other Apartments,-
Serangoon,Serangoon North,10 - 14,Landed Properties,-
Serangoon,Serangoon North,10 - 14,Others,-
Serangoon,Serangoon North,15 - 19,Total,780
Serangoon,Serangoon North,15 - 19,Total HDB^,770
Serangoon,Serangoon North,15 - 19,1- and 2-Room Flats*,-
Serangoon,Serangoon North,15 - 19,3-Room Flats,-
Serangoon,Serangoon North,15 - 19,4-Room Flats,260
Serangoon,Serangoon North,15 - 19,5-Room and Executive Flats,520
Serangoon,Serangoon North,15 - 19,Condominiums and Other Apartments,-
Serangoon,Serangoon North,15 - 19,Landed Properties,-
Serangoon,Serangoon North,15 - 19,Others,-
Serangoon,Serangoon North,20 - 24,Total,960
Serangoon,Serangoon North,20 - 24,Total HDB^,960
Serangoon,Serangoon North,20 - 24,1- and 2-Room Flats*,-
Serangoon,Serangoon North,20 - 24,3-Room Flats,-
Serangoon,Serangoon North,20 - 24,4-Room Flats,370
Serangoon,Serangoon North,20 - 24,5-Room and Executive Flats,590
Serangoon,Serangoon North,20 - 24,Condominiums and Other Apartments,-
Serangoon,Serangoon North,20 - 24,Landed Properties,-
Serangoon,Serangoon North,20 - 24,Others,-
Serangoon,Serangoon North,25 - 29,Total,1310
Serangoon,Serangoon North,25 - 29,Total HDB^,1310
Serangoon,Serangoon North,25 - 29,1- and 2-Room Flats*,-
Serangoon,Serangoon North,25 - 29,3-Room Flats,-
Serangoon,Serangoon North,25 - 29,4-Room Flats,530
Serangoon,Serangoon North,25 - 29,5-Room and Executive Flats,780
Serangoon,Serangoon North,25 - 29,Condominiums and Other Apartments,-
Serangoon,Serangoon North,25 - 29,Landed Properties,-
Serangoon,Serangoon North,25 - 29,Others,-
Serangoon,Serangoon North,30 - 34,Total,1230
Serangoon,Serangoon North,30 - 34,Total HDB^,1230
Serangoon,Serangoon North,30 - 34,1- and 2-Room Flats*,-
Serangoon,Serangoon North,30 - 34,3-Room Flats,-
Serangoon,Serangoon North,30 - 34,4-Room Flats,520
Serangoon,Serangoon North,30 - 34,5-Room and Executive Flats,710
Serangoon,Serangoon North,30 - 34,Condominiums and Other Apartments,-
Serangoon,Serangoon North,30 - 34,Landed Properties,-
Serangoon,Serangoon North,30 - 34,Others,-
Serangoon,Serangoon North,35 - 39,Total,930
Serangoon,Serangoon North,35 - 39,Total HDB^,930
Serangoon,Serangoon North,35 - 39,1- and 2-Room Flats*,-
Serangoon,Serangoon North,35 - 39,3-Room Flats,-
Serangoon,Serangoon North,35 - 39,4-Room Flats,380
Serangoon,Serangoon North,35 - 39,5-Room and Executive Flats,550
Serangoon,Serangoon North,35 - 39,Condominiums and Other Apartments,-
Serangoon,Serangoon North,35 - 39,Landed Properties,-
Serangoon,Serangoon North,35 - 39,Others,-
Serangoon,Serangoon North,40 - 44,Total,900
Serangoon,Serangoon North,40 - 44,Total HDB^,900
Serangoon,Serangoon North,40 - 44,1- and 2-Room Flats*,-
Serangoon,Serangoon North,40 - 44,3-Room Flats,-
Serangoon,Serangoon North,40 - 44,4-Room Flats,360
Serangoon,Serangoon North,40 - 44,5-Room and Executive Flats,540
Serangoon,Serangoon North,40 - 44,Condominiums and Other Apartments,-
Serangoon,Serangoon North,40 - 44,Landed Properties,-
Serangoon,Serangoon North,40 - 44,Others,-
Serangoon,Serangoon North,45 - 49,Total,860
Serangoon,Serangoon North,45 - 49,Total HDB^,860
Serangoon,Serangoon North,45 - 49,1- and 2-Room Flats*,-
Serangoon,Serangoon North,45 - 49,3-Room Flats,-
Serangoon,Serangoon North,45 - 49,4-Room Flats,340
Serangoon,Serangoon North,45 - 49,5-Room and Executive Flats,520
Serangoon,Serangoon North,45 - 49,Condominiums and Other Apartments,-
Serangoon,Serangoon North,45 - 49,Landed Properties,-
Serangoon,Serangoon North,45 - 49,Others,10
Serangoon,Serangoon North,50 - 54,Total,1040
Serangoon,Serangoon North,50 - 54,Total HDB^,1040
Serangoon,Serangoon North,50 - 54,1- and 2-Room Flats*,-
Serangoon,Serangoon North,50 - 54,3-Room Flats,-
Serangoon,Serangoon North,50 - 54,4-Room Flats,420
Serangoon,Serangoon North,50 - 54,5-Room and Executive Flats,610
Serangoon,Serangoon North,50 - 54,Condominiums and Other Apartments,-
Serangoon,Serangoon North,50 - 54,Landed Properties,-
Serangoon,Serangoon North,50 - 54,Others,-
Serangoon,Serangoon North,55 - 59,Total,1290
Serangoon,Serangoon North,55 - 59,Total HDB^,1290
Serangoon,Serangoon North,55 - 59,1- and 2-Room Flats*,-
Serangoon,Serangoon North,55 - 59,3-Room Flats,-
Serangoon,Serangoon North,55 - 59,4-Room Flats,550
Serangoon,Serangoon North,55 - 59,5-Room and Executive Flats,730
Serangoon,Serangoon North,55 - 59,Condominiums and Other Apartments,-
Serangoon,Serangoon North,55 - 59,Landed Properties,-
Serangoon,Serangoon North,55 - 59,Others,-
Serangoon,Serangoon North,60 - 64,Total,1350
Serangoon,Serangoon North,60 - 64,Total HDB^,1350
Serangoon,Serangoon North,60 - 64,1- and 2-Room Flats*,-
Serangoon,Serangoon North,60 - 64,3-Room Flats,-
Serangoon,Serangoon North,60 - 64,4-Room Flats,570
Serangoon,Serangoon North,60 - 64,5-Room and Executive Flats,790
Serangoon,Serangoon North,60 - 64,Condominiums and Other Apartments,-
Serangoon,Serangoon North,60 - 64,Landed Properties,-
Serangoon,Serangoon North,60 - 64,Others,-
Serangoon,Serangoon North,65 - 69,Total,1200
Serangoon,Serangoon North,65 - 69,Total HDB^,1200
Serangoon,Serangoon North,65 - 69,1- and 2-Room Flats*,-
Serangoon,Serangoon North,65 - 69,3-Room Flats,-
Serangoon,Serangoon North,65 - 69,4-Room Flats,470
Serangoon,Serangoon North,65 - 69,5-Room and Executive Flats,730
Serangoon,Serangoon North,65 - 69,Condominiums and Other Apartments,-
Serangoon,Serangoon North,65 - 69,Landed Properties,-
Serangoon,Serangoon North,65 - 69,Others,-
Serangoon,Serangoon North,70 - 74,Total,850
Serangoon,Serangoon North,70 - 74,Total HDB^,850
Serangoon,Serangoon North,70 - 74,1- and 2-Room Flats*,-
Serangoon,Serangoon North,70 - 74,3-Room Flats,-
Serangoon,Serangoon North,70 - 74,4-Room Flats,340
Serangoon,Serangoon North,70 - 74,5-Room and Executive Flats,520
Serangoon,Serangoon North,70 - 74,Condominiums and Other Apartments,-
Serangoon,Serangoon North,70 - 74,Landed Properties,-
Serangoon,Serangoon North,70 - 74,Others,-
Serangoon,Serangoon North,75 - 79,Total,460
Serangoon,Serangoon North,75 - 79,Total HDB^,460
Serangoon,Serangoon North,75 - 79,1- and 2-Room Flats*,-
Serangoon,Serangoon North,75 - 79,3-Room Flats,-
Serangoon,Serangoon North,75 - 79,4-Room Flats,180
Serangoon,Serangoon North,75 - 79,5-Room and Executive Flats,280
Serangoon,Serangoon North,75 - 79,Condominiums and Other Apartments,-
Serangoon,Serangoon North,75 - 79,Landed Properties,-
Serangoon,Serangoon North,75 - 79,Others,-
Serangoon,Serangoon North,80 - 84,Total,230
Serangoon,Serangoon North,80 - 84,Total HDB^,230
Serangoon,Serangoon North,80 - 84,1- and 2-Room Flats*,-
Serangoon,Serangoon North,80 - 84,3-Room Flats,-
Serangoon,Serangoon North,80 - 84,4-Room Flats,90
Serangoon,Serangoon North,80 - 84,5-Room and Executive Flats,140
Serangoon,Serangoon North,80 - 84,Condominiums and Other Apartments,-
Serangoon,Serangoon North,80 - 84,Landed Properties,-
Serangoon,Serangoon North,80 - 84,Others,-
Serangoon,Serangoon North,85 - 89,Total,130
Serangoon,Serangoon North,85 - 89,Total HDB^,130
Serangoon,Serangoon North,85 - 89,1- and 2-Room Flats*,-
Serangoon,Serangoon North,85 - 89,3-Room Flats,-
Serangoon,Serangoon North,85 - 89,4-Room Flats,60
Serangoon,Serangoon North,85 - 89,5-Room and Executive Flats,70
Serangoon,Serangoon North,85 - 89,Condominiums and Other Apartments,-
Serangoon,Serangoon North,85 - 89,Landed Properties,-
Serangoon,Serangoon North,85 - 89,Others,-
Serangoon,Serangoon North,90 & Over,Total,70
Serangoon,Serangoon North,90 & Over,Total HDB^,70
Serangoon,Serangoon North,90 & Over,1- and 2-Room Flats*,-
Serangoon,Serangoon North,90 & Over,3-Room Flats,-
Serangoon,Serangoon North,90 & Over,4-Room Flats,20
Serangoon,Serangoon North,90 & Over,5-Room and Executive Flats,40
Serangoon,Serangoon North,90 & Over,Condominiums and Other Apartments,-
Serangoon,Serangoon North,90 & Over,Landed Properties,-
Serangoon,Serangoon North,90 & Over,Others,-
Serangoon,Serangoon North Ind Estate,Total,Total,10
Serangoon,Serangoon North Ind Estate,Total,Total HDB^,-
Serangoon,Serangoon North Ind Estate,Total,1- and 2-Room Flats*,-
Serangoon,Serangoon North Ind Estate,Total,3-Room Flats,-
Serangoon,Serangoon North Ind Estate,Total,4-Room Flats,-
Serangoon,Serangoon North Ind Estate,Total,5-Room and Executive Flats,-
Serangoon,Serangoon North Ind Estate,Total,Condominiums and Other Apartments,-
Serangoon,Serangoon North Ind Estate,Total,Landed Properties,-
Serangoon,Serangoon North Ind Estate,Total,Others,-
Serangoon,Serangoon North Ind Estate,0 - 4,Total,-
Serangoon,Serangoon North Ind Estate,0 - 4,Total HDB^,-
Serangoon,Serangoon North Ind Estate,0 - 4,1- and 2-Room Flats*,-
Serangoon,Serangoon North Ind Estate,0 - 4,3-Room Flats,-
Serangoon,Serangoon North Ind Estate,0 - 4,4-Room Flats,-
Serangoon,Serangoon North Ind Estate,0 - 4,5-Room and Executive Flats,-
Serangoon,Serangoon North Ind Estate,0 - 4,Condominiums and Other Apartments,-
Serangoon,Serangoon North Ind Estate,0 - 4,Landed Properties,-
Serangoon,Serangoon North Ind Estate,0 - 4,Others,-
Serangoon,Serangoon North Ind Estate,5 - 9,Total,-
Serangoon,Serangoon North Ind Estate,5 - 9,Total HDB^,-
Serangoon,Serangoon North Ind Estate,5 - 9,1- and 2-Room Flats*,-
Serangoon,Serangoon North Ind Estate,5 - 9,3-Room Flats,-
Serangoon,Serangoon North Ind Estate,5 - 9,4-Room Flats,-
Serangoon,Serangoon North Ind Estate,5 - 9,5-Room and Executive Flats,-
Serangoon,Serangoon North Ind Estate,5 - 9,Condominiums and Other Apartments,-
Serangoon,Serangoon North Ind Estate,5 - 9,Landed Properties,-
Serangoon,Serangoon North Ind Estate,5 - 9,Others,-
Serangoon,Serangoon North Ind Estate,10 - 14,Total,-
Serangoon,Serangoon North Ind Estate,10 - 14,Total HDB^,-
Serangoon,Serangoon North Ind Estate,10 - 14,1- and 2-Room Flats*,-
Serangoon,Serangoon North Ind Estate,10 - 14,3-Room Flats,-
Serangoon,Serangoon North Ind Estate,10 - 14,4-Room Flats,-
Serangoon,Serangoon North Ind Estate,10 - 14,5-Room and Executive Flats,-
Serangoon,Serangoon North Ind Estate,10 - 14,Condominiums and Other Apartments,-
Serangoon,Serangoon North Ind Estate,10 - 14,Landed Properties,-
Serangoon,Serangoon North Ind Estate,10 - 14,Others,-
Serangoon,Serangoon North Ind Estate,15 - 19,Total,-
Serangoon,Serangoon North Ind Estate,15 - 19,Total HDB^,-
Serangoon,Serangoon North Ind Estate,15 - 19,1- and 2-Room Flats*,-
Serangoon,Serangoon North Ind Estate,15 - 19,3-Room Flats,-
Serangoon,Serangoon North Ind Estate,15 - 19,4-Room Flats,-
Serangoon,Serangoon North Ind Estate,15 - 19,5-Room and Executive Flats,-
Serangoon,Serangoon North Ind Estate,15 - 19,Condominiums and Other Apartments,-
Serangoon,Serangoon North Ind Estate,15 - 19,Landed Properties,-
Serangoon,Serangoon North Ind Estate,15 - 19,Others,-
Serangoon,Serangoon North Ind Estate,20 - 24,Total,-
Serangoon,Serangoon North Ind Estate,20 - 24,Total HDB^,-
Serangoon,Serangoon North Ind Estate,20 - 24,1- and 2-Room Flats*,-
Serangoon,Serangoon North Ind Estate,20 - 24,3-Room Flats,-
Serangoon,Serangoon North Ind Estate,20 - 24,4-Room Flats,-
Serangoon,Serangoon North Ind Estate,20 - 24,5-Room and Executive Flats,-
Serangoon,Serangoon North Ind Estate,20 - 24,Condominiums and Other Apartments,-
Serangoon,Serangoon North Ind Estate,20 - 24,Landed Properties,-
Serangoon,Serangoon North Ind Estate,20 - 24,Others,-
Serangoon,Serangoon North Ind Estate,25 - 29,Total,-
Serangoon,Serangoon North Ind Estate,25 - 29,Total HDB^,-
Serangoon,Serangoon North Ind Estate,25 - 29,1- and 2-Room Flats*,-
Serangoon,Serangoon North Ind Estate,25 - 29,3-Room Flats,-
Serangoon,Serangoon North Ind Estate,25 - 29,4-Room Flats,-
Serangoon,Serangoon North Ind Estate,25 - 29,5-Room and Executive Flats,-
Serangoon,Serangoon North Ind Estate,25 - 29,Condominiums and Other Apartments,-
Serangoon,Serangoon North Ind Estate,25 - 29,Landed Properties,-
Serangoon,Serangoon North Ind Estate,25 - 29,Others,-
Serangoon,Serangoon North Ind Estate,30 - 34,Total,-
Serangoon,Serangoon North Ind Estate,30 - 34,Total HDB^,-
Serangoon,Serangoon North Ind Estate,30 - 34,1- and 2-Room Flats*,-
Serangoon,Serangoon North Ind Estate,30 - 34,3-Room Flats,-
Serangoon,Serangoon North Ind Estate,30 - 34,4-Room Flats,-
Serangoon,Serangoon North Ind Estate,30 - 34,5-Room and Executive Flats,-
Serangoon,Serangoon North Ind Estate,30 - 34,Condominiums and Other Apartments,-
Serangoon,Serangoon North Ind Estate,30 - 34,Landed Properties,-
Serangoon,Serangoon North Ind Estate,30 - 34,Others,-
Serangoon,Serangoon North Ind Estate,35 - 39,Total,-
Serangoon,Serangoon North Ind Estate,35 - 39,Total HDB^,-
Serangoon,Serangoon North Ind Estate,35 - 39,1- and 2-Room Flats*,-
Serangoon,Serangoon North Ind Estate,35 - 39,3-Room Flats,-
Serangoon,Serangoon North Ind Estate,35 - 39,4-Room Flats,-
Serangoon,Serangoon North Ind Estate,35 - 39,5-Room and Executive Flats,-
Serangoon,Serangoon North Ind Estate,35 - 39,Condominiums and Other Apartments,-
Serangoon,Serangoon North Ind Estate,35 - 39,Landed Properties,-
Serangoon,Serangoon North Ind Estate,35 - 39,Others,-
Serangoon,Serangoon North Ind Estate,40 - 44,Total,-
Serangoon,Serangoon North Ind Estate,40 - 44,Total HDB^,-
Serangoon,Serangoon North Ind Estate,40 - 44,1- and 2-Room Flats*,-
Serangoon,Serangoon North Ind Estate,40 - 44,3-Room Flats,-
Serangoon,Serangoon North Ind Estate,40 - 44,4-Room Flats,-
Serangoon,Serangoon North Ind Estate,40 - 44,5-Room and Executive Flats,-
Serangoon,Serangoon North Ind Estate,40 - 44,Condominiums and Other Apartments,-
Serangoon,Serangoon North Ind Estate,40 - 44,Landed Properties,-
Serangoon,Serangoon North Ind Estate,40 - 44,Others,-
Serangoon,Serangoon North Ind Estate,45 - 49,Total,-
Serangoon,Serangoon North Ind Estate,45 - 49,Total HDB^,-
Serangoon,Serangoon North Ind Estate,45 - 49,1- and 2-Room Flats*,-
Serangoon,Serangoon North Ind Estate,45 - 49,3-Room Flats,-
Serangoon,Serangoon North Ind Estate,45 - 49,4-Room Flats,-
Serangoon,Serangoon North Ind Estate,45 - 49,5-Room and Executive Flats,-
Serangoon,Serangoon North Ind Estate,45 - 49,Condominiums and Other Apartments,-
Serangoon,Serangoon North Ind Estate,45 - 49,Landed Properties,-
Serangoon,Serangoon North Ind Estate,45 - 49,Others,-
Serangoon,Serangoon North Ind Estate,50 - 54,Total,-
Serangoon,Serangoon North Ind Estate,50 - 54,Total HDB^,-
Serangoon,Serangoon North Ind Estate,50 - 54,1- and 2-Room Flats*,-
Serangoon,Serangoon North Ind Estate,50 - 54,3-Room Flats,-
Serangoon,Serangoon North Ind Estate,50 - 54,4-Room Flats,-
Serangoon,Serangoon North Ind Estate,50 - 54,5-Room and Executive Flats,-
Serangoon,Serangoon North Ind Estate,50 - 54,Condominiums and Other Apartments,-
Serangoon,Serangoon North Ind Estate,50 - 54,Landed Properties,-
Serangoon,Serangoon North Ind Estate,50 - 54,Others,-
Serangoon,Serangoon North Ind Estate,55 - 59,Total,-
Serangoon,Serangoon North Ind Estate,55 - 59,Total HDB^,-
Serangoon,Serangoon North Ind Estate,55 - 59,1- and 2-Room Flats*,-
Serangoon,Serangoon North Ind Estate,55 - 59,3-Room Flats,-
Serangoon,Serangoon North Ind Estate,55 - 59,4-Room Flats,-
Serangoon,Serangoon North Ind Estate,55 - 59,5-Room and Executive Flats,-
Serangoon,Serangoon North Ind Estate,55 - 59,Condominiums and Other Apartments,-
Serangoon,Serangoon North Ind Estate,55 - 59,Landed Properties,-
Serangoon,Serangoon North Ind Estate,55 - 59,Others,-
Serangoon,Serangoon North Ind Estate,60 - 64,Total,-
Serangoon,Serangoon North Ind Estate,60 - 64,Total HDB^,-
Serangoon,Serangoon North Ind Estate,60 - 64,1- and 2-Room Flats*,-
Serangoon,Serangoon North Ind Estate,60 - 64,3-Room Flats,-
Serangoon,Serangoon North Ind Estate,60 - 64,4-Room Flats,-
Serangoon,Serangoon North Ind Estate,60 - 64,5-Room and Executive Flats,-
Serangoon,Serangoon North Ind Estate,60 - 64,Condominiums and Other Apartments,-
Serangoon,Serangoon North Ind Estate,60 - 64,Landed Properties,-
Serangoon,Serangoon North Ind Estate,60 - 64,Others,-
Serangoon,Serangoon North Ind Estate,65 - 69,Total,-
Serangoon,Serangoon North Ind Estate,65 - 69,Total HDB^,-
Serangoon,Serangoon North Ind Estate,65 - 69,1- and 2-Room Flats*,-
Serangoon,Serangoon North Ind Estate,65 - 69,3-Room Flats,-
Serangoon,Serangoon North Ind Estate,65 - 69,4-Room Flats,-
Serangoon,Serangoon North Ind Estate,65 - 69,5-Room and Executive Flats,-
Serangoon,Serangoon North Ind Estate,65 - 69,Condominiums and Other Apartments,-
Serangoon,Serangoon North Ind Estate,65 - 69,Landed Properties,-
Serangoon,Serangoon North Ind Estate,65 - 69,Others,-
Serangoon,Serangoon North Ind Estate,70 - 74,Total,-
Serangoon,Serangoon North Ind Estate,70 - 74,Total HDB^,-
Serangoon,Serangoon North Ind Estate,70 - 74,1- and 2-Room Flats*,-
Serangoon,Serangoon North Ind Estate,70 - 74,3-Room Flats,-
Serangoon,Serangoon North Ind Estate,70 - 74,4-Room Flats,-
Serangoon,Serangoon North Ind Estate,70 - 74,5-Room and Executive Flats,-
Serangoon,Serangoon North Ind Estate,70 - 74,Condominiums and Other Apartments,-
Serangoon,Serangoon North Ind Estate,70 - 74,Landed Properties,-
Serangoon,Serangoon North Ind Estate,70 - 74,Others,-
Serangoon,Serangoon North Ind Estate,75 - 79,Total,-
Serangoon,Serangoon North Ind Estate,75 - 79,Total HDB^,-
Serangoon,Serangoon North Ind Estate,75 - 79,1- and 2-Room Flats*,-
Serangoon,Serangoon North Ind Estate,75 - 79,3-Room Flats,-
Serangoon,Serangoon North Ind Estate,75 - 79,4-Room Flats,-
Serangoon,Serangoon North Ind Estate,75 - 79,5-Room and Executive Flats,-
Serangoon,Serangoon North Ind Estate,75 - 79,Condominiums and Other Apartments,-
Serangoon,Serangoon North Ind Estate,75 - 79,Landed Properties,-
Serangoon,Serangoon North Ind Estate,75 - 79,Others,-
Serangoon,Serangoon North Ind Estate,80 - 84,Total,-
Serangoon,Serangoon North Ind Estate,80 - 84,Total HDB^,-
Serangoon,Serangoon North Ind Estate,80 - 84,1- and 2-Room Flats*,-
Serangoon,Serangoon North Ind Estate,80 - 84,3-Room Flats,-
Serangoon,Serangoon North Ind Estate,80 - 84,4-Room Flats,-
Serangoon,Serangoon North Ind Estate,80 - 84,5-Room and Executive Flats,-
Serangoon,Serangoon North Ind Estate,80 - 84,Condominiums and Other Apartments,-
Serangoon,Serangoon North Ind Estate,80 - 84,Landed Properties,-
Serangoon,Serangoon North Ind Estate,80 - 84,Others,-
Serangoon,Serangoon North Ind Estate,85 - 89,Total,-
Serangoon,Serangoon North Ind Estate,85 - 89,Total HDB^,-
Serangoon,Serangoon North Ind Estate,85 - 89,1- and 2-Room Flats*,-
Serangoon,Serangoon North Ind Estate,85 - 89,3-Room Flats,-
Serangoon,Serangoon North Ind Estate,85 - 89,4-Room Flats,-
Serangoon,Serangoon North Ind Estate,85 - 89,5-Room and Executive Flats,-
Serangoon,Serangoon North Ind Estate,85 - 89,Condominiums and Other Apartments,-
Serangoon,Serangoon North Ind Estate,85 - 89,Landed Properties,-
Serangoon,Serangoon North Ind Estate,85 - 89,Others,-
